,reward,performance,loss,episode,reward_smooth,performance_smooth
0,-83.0,-83.0,44.0,0.0,,
1,-24.0,-39.0,2447.0,1.0,,
2,-82.0,-82.0,41.0,2.0,,
3,-30.0,-30.0,2449.0,3.0,,
4,-29.0,-34.0,2434.0,4.0,,
5,-34.0,-44.0,2386.2201,5.0,,
6,-74.0,-74.0,18.0,6.0,,
7,-27.0,-37.0,6861.56363602,7.0,,
8,-82.0,-87.0,42477.77346529077,8.0,,
9,-32.0,-32.0,8314.485035820107,9.0,,
10,-75.0,-75.0,0.0,10.0,,
11,-30.0,-40.0,22099.104742168674,11.0,,
12,-76.0,-76.0,24748.944004094836,12.0,,
13,-21.0,-31.0,6487.3227148616015,13.0,,
14,-81.0,-91.0,35720.35301615927,14.0,,
15,-82.0,-82.0,15962.039678594081,15.0,,
16,-77.0,-77.0,41540.20181186098,16.0,,
17,-28.0,-28.0,6363.752790023225,17.0,,
18,-80.0,-80.0,23732.543357014896,18.0,,
19,-30.0,-30.0,4434.56363602,19.0,,
20,-26.0,-36.0,2420.0,20.0,,
21,-81.0,-81.0,47853.42068401974,21.0,,
22,-88.0,-88.0,42970.918991138526,22.0,,
23,-27.0,-32.0,45.45369159475154,23.0,,
24,-73.0,-73.0,0.0,24.0,,
25,-84.0,-89.0,20852.792009456007,25.0,,
26,-75.0,-75.0,21908.743952843783,26.0,,
27,-31.0,-41.0,2376.2201,27.0,,
28,-79.0,-79.0,14821.316024559053,28.0,,
29,-34.0,-44.0,7604.638581535153,29.0,,
30,-32.0,-42.0,25.0,30.0,,
31,-30.0,-30.0,21509.556505589964,31.0,,
32,-33.0,-38.0,9418.051348031207,32.0,,
33,-32.0,-42.0,5517.909606562531,33.0,,
34,-32.0,-32.0,10877.037143456517,34.0,,
35,-80.0,-80.0,12042.942639307243,35.0,,
36,-82.0,-82.0,44.17032735421492,36.0,,
37,-32.0,-37.0,5484.936843280575,37.0,,
38,-84.0,-94.0,33575.199238222114,38.0,,
39,-28.0,-28.0,2277.816960831601,39.0,,
40,-25.0,-35.0,4636.4202000000005,40.0,,
41,-31.0,-36.0,6.0,41.0,,
42,-72.0,-77.0,30050.76183213229,42.0,,
43,-76.0,-76.0,1704.0831693414837,43.0,,
44,-81.0,-86.0,13513.60158498995,44.0,,
45,-78.0,-78.0,6419.533534871602,45.0,,
46,-80.0,-80.0,56087.3014666972,46.0,,
47,-80.0,-85.0,1823.0779951206682,47.0,,
48,-82.0,-87.0,4035.359813130668,48.0,,
49,-82.0,-82.0,4516.389264913869,49.0,,
50,-78.0,-83.0,0.0,50.0,,
51,-33.0,-38.0,3.0,51.0,,
52,-27.0,-27.0,2355.2686854960994,52.0,,
53,-33.0,-38.0,2955.911121927826,53.0,,
54,-78.0,-78.0,0.0,54.0,,
55,-30.0,-40.0,3.0,55.0,,
56,-78.0,-78.0,0.0,56.0,,
57,-32.0,-32.0,2214.28181801,57.0,,
58,-31.0,-31.0,18.0,58.0,,
59,-35.0,-35.0,16.0,59.0,,
60,-81.0,-86.0,0.0,60.0,,
61,-25.0,-25.0,7699.100070754781,61.0,,
62,-27.0,-37.0,15.0,62.0,,
63,-32.0,-32.0,2407.0,63.0,,
64,-32.0,-32.0,2417.0,64.0,,
65,-73.0,-73.0,2.048585496099429,65.0,,
66,-83.0,-88.0,0.0,66.0,,
67,-29.0,-34.0,0.0,67.0,,
68,-84.0,-84.0,31170.191659647153,68.0,,
69,-31.0,-36.0,2.0,69.0,,
70,-84.0,-94.0,34267.595352051205,70.0,,
71,-83.0,-83.0,0.0,71.0,,
72,-25.0,-25.0,0.0,72.0,,
73,-79.0,-79.0,0.0,73.0,,
74,-83.0,-88.0,0.0,74.0,,
75,-23.0,-23.0,4179.696258534803,75.0,,
76,-78.0,-83.0,10006.640100614468,76.0,,
77,-36.0,-46.0,4239.449736995162,77.0,,
78,-73.0,-73.0,0.0,78.0,,
79,-29.0,-39.0,4.0,79.0,,
80,43.0,28.0,2420.0,80.0,,
81,-85.0,-85.0,0.0,81.0,,
82,-37.0,-37.0,4319.153483262284,82.0,,
83,-30.0,-35.0,7.0,83.0,,
84,-38.0,-43.0,47.0,84.0,,
85,-26.0,-36.0,2.0,85.0,,
86,-33.0,-43.0,21.0,86.0,,
87,-33.0,-43.0,3.0,87.0,,
88,-85.0,-90.0,0.0,88.0,,
89,-26.0,-36.0,0.0,89.0,,
90,-33.0,-43.0,0.0,90.0,,
91,-80.0,-80.0,0.0,91.0,,
92,-25.0,-35.0,7.0,92.0,,
93,-28.0,-28.0,2.0,93.0,,
94,-23.0,-33.0,2.0,94.0,,
95,-26.0,-36.0,0.0,95.0,,
96,-82.0,-82.0,0.0,96.0,,
97,-27.0,-37.0,6573.079397703202,97.0,,
98,-28.0,-28.0,3.0,98.0,,
99,-30.0,-35.0,0.0,99.0,-51.04,-55.14
100,-25.0,-35.0,1.0,100.0,-50.46,-54.66
101,-37.0,-47.0,10.0,101.0,-50.59,-54.74
102,-29.0,-39.0,12.0,102.0,-50.06,-54.31
103,-79.0,-84.0,12.04858549609943,103.0,-50.55,-54.85
104,-25.0,-30.0,2.0,104.0,-50.51,-54.81
105,-28.0,-28.0,11.0,105.0,-50.45,-54.65
106,-22.0,-27.0,230.48315476221677,106.0,-49.93,-54.18
107,-33.0,-38.0,0.0,107.0,-49.99,-54.19
108,-77.0,-82.0,0.0,108.0,-49.94,-54.14
109,-34.0,-44.0,8.0,109.0,-49.96,-54.26
110,-21.0,-26.0,0.0,110.0,-49.42,-53.77
111,-30.0,-30.0,6836.318878841601,111.0,-49.42,-53.67
112,-22.0,-32.0,0.0,112.0,-48.88,-53.23
113,-28.0,-38.0,1.0,113.0,-48.95,-53.3
114,-26.0,-36.0,4351.493836019999,114.0,-48.4,-52.75
115,-24.0,-34.0,1.0,115.0,-47.82,-52.27
116,-37.0,-37.0,0.0,116.0,-47.42,-51.87
117,-34.0,-39.0,299.4778526049017,117.0,-47.48,-51.98
118,-65.0,-65.0,34.02807649417704,118.0,-47.33,-51.83
119,-24.0,-34.0,3.0,119.0,-47.27,-51.87
120,-24.0,-34.0,0.0,120.0,-47.25,-51.85
121,-27.0,-27.0,0.0,121.0,-46.71,-51.31
122,-32.0,-42.0,11309.04555403,122.0,-46.15,-50.85
123,-24.0,-24.0,13477.434848675757,123.0,-46.12,-50.77
124,-80.0,-80.0,0.0,124.0,-46.19,-50.84
125,-75.0,-75.0,0.0,125.0,-46.1,-50.7
126,-31.0,-41.0,3.0,126.0,-45.66,-50.36
127,-27.0,-32.0,0.0,127.0,-45.62,-50.27
128,-20.0,-30.0,0.0,128.0,-45.03,-49.78
129,-28.0,-33.0,4359.351473974254,129.0,-44.97,-49.67
130,-29.0,-29.0,0.0,130.0,-44.94,-49.54
131,-34.0,-39.0,2212.28181801,131.0,-44.98,-49.63
132,-28.0,-38.0,23575.64667737491,132.0,-44.93,-49.63
133,-26.0,-36.0,10593.783687687457,133.0,-44.87,-49.57
134,-28.0,-38.0,15541.607972040001,134.0,-44.83,-49.63
135,-27.0,-32.0,2.0,135.0,-44.3,-49.15
136,-81.0,-86.0,0.0,136.0,-44.29,-49.19
137,-77.0,-77.0,0.0,137.0,-44.74,-49.59
138,-36.0,-36.0,0.0,138.0,-44.26,-49.01
139,-25.0,-25.0,0.0,139.0,-44.23,-48.98
140,-79.0,-79.0,0.0,140.0,-44.77,-49.42
141,-34.0,-44.0,7.0,141.0,-44.8,-49.5
142,-83.0,-93.0,9.0,142.0,-44.91,-49.66
143,-82.0,-87.0,36.07158468281401,143.0,-44.97,-49.77
144,-25.0,-25.0,0.0,144.0,-44.41,-49.16
145,-78.0,-78.0,17.359492140688246,145.0,-44.41,-49.16
146,-31.0,-41.0,2353.2201,146.0,-43.92,-48.77
147,-29.0,-39.0,0.0,147.0,-43.41,-48.31
148,-27.0,-37.0,0.0,148.0,-42.86,-47.81
149,-33.0,-33.0,4.0,149.0,-42.37,-47.32
150,-27.0,-27.0,0.0,150.0,-41.86,-46.76
151,-76.0,-76.0,0.0,151.0,-42.29,-47.14
152,-32.0,-37.0,1.0,152.0,-42.34,-47.24
153,-32.0,-42.0,2284.2001,153.0,-42.33,-47.28
154,-84.0,-94.0,26139.245359143522,154.0,-42.39,-47.44
155,-33.0,-43.0,16.0,155.0,-42.42,-47.47
156,-86.0,-91.0,0.0,156.0,-42.5,-47.6
157,-31.0,-31.0,11299.134136019999,157.0,-42.49,-47.59
158,-26.0,-31.0,0.0,158.0,-42.44,-47.59
159,-25.0,-25.0,4154.079397703202,159.0,-42.34,-47.49
160,-32.0,-42.0,0.0,160.0,-41.85,-47.05
161,-85.0,-85.0,0.0,161.0,-42.45,-47.65
162,-29.0,-34.0,22.0,162.0,-42.47,-47.62
163,-29.0,-44.0,8363.805706845855,163.0,-42.44,-47.74
164,-26.0,-36.0,0.0,164.0,-42.38,-47.78
165,-33.0,-33.0,2373.453821663202,165.0,-41.98,-47.38
166,-79.0,-79.0,0.0,166.0,-41.94,-47.29
167,-34.0,-44.0,0.0,167.0,-41.99,-47.39
168,-23.0,-28.0,6.0,168.0,-41.38,-46.83
169,-74.0,-74.0,0.0,169.0,-41.81,-47.21
170,-28.0,-33.0,0.0,170.0,-41.25,-46.6
171,-30.0,-40.0,0.0,171.0,-40.72,-46.17
172,-33.0,-43.0,0.0,172.0,-40.8,-46.35
173,-81.0,-81.0,1607.2338953320677,173.0,-40.82,-46.37
174,-78.0,-78.0,0.0,174.0,-40.77,-46.27
175,-27.0,-37.0,0.0,175.0,-40.81,-46.41
176,-86.0,-86.0,4424.56363602,176.0,-40.89,-46.44
177,-26.0,-36.0,5.0,177.0,-40.79,-46.34
178,-83.0,-83.0,0.0,178.0,-40.89,-46.44
179,-29.0,-29.0,1.0,179.0,-40.89,-46.34
180,-34.0,-39.0,6.0,180.0,-41.66,-47.01
181,-81.0,-81.0,0.0,181.0,-41.62,-46.97
182,-77.0,-77.0,0.0,182.0,-42.02,-47.37
183,-29.0,-39.0,0.0,183.0,-42.01,-47.41
184,-27.0,-32.0,0.0,184.0,-41.9,-47.3
185,-23.0,-28.0,0.0,185.0,-41.87,-47.22
186,-31.0,-31.0,0.0,186.0,-41.85,-47.1
187,-31.0,-36.0,10.0,187.0,-41.83,-47.03
188,-83.0,-88.0,0.0,188.0,-41.81,-47.01
189,-29.0,-39.0,1.0,189.0,-41.84,-47.04
190,-25.0,-25.0,0.0,190.0,-41.76,-46.86
191,-32.0,-42.0,0.0,191.0,-41.28,-46.48
192,-35.0,-40.0,9.0,192.0,-41.38,-46.53
193,-75.0,-80.0,0.0,193.0,-41.85,-47.05
194,-34.0,-39.0,26.0,194.0,-41.96,-47.11
195,-28.0,-33.0,8618.088419024252,195.0,-41.98,-47.08
196,-82.0,-82.0,1995.890596851601,196.0,-41.98,-47.08
197,-29.0,-34.0,0.0,197.0,-42.0,-47.05
198,-79.0,-79.0,0.0,198.0,-42.51,-47.56
199,-82.0,-82.0,0.0,199.0,-43.03,-48.03
