,reward,performance,loss,episode,episode_smooth,reward_smooth,performance_smooth,loss_smooth
0,35.0,25.0,2414.2761,0.0,,,,
1,-81.0,-91.0,52.83359579349362,1.0,,,,
2,-74.0,-84.0,24.72287130200596,2.0,,,,
3,25.0,15.0,1987.4246121662536,3.0,,,,
4,20.0,10.0,1650.5808344464294,4.0,,,,
5,0.0,-10.0,2440.608609956481,5.0,,,,
6,12.0,2.0,2004.0238979420099,6.0,,,,
7,-77.0,-87.0,160.8216131166389,7.0,,,,
8,-8.0,-18.0,1404.254831274654,8.0,,,,
9,-24.0,-34.0,1681.132020707919,9.0,,,,
10,20.0,10.0,1391.2480564944703,10.0,,,,
11,-12.0,-22.0,1158.2835049285648,11.0,,,,
12,40.0,30.0,2441.402989754295,12.0,,,,
13,15.0,5.0,2753.5961138769985,13.0,,,,
14,9.0,-1.0,963.0121412136486,14.0,,,,
15,23.0,13.0,852.558820922593,15.0,,,,
16,34.0,24.0,2456.327182146449,16.0,,,,
17,40.0,30.0,1645.612669882125,17.0,,,,
18,42.0,32.0,942.7418414483989,18.0,,,,
19,5.0,5.0,2430.1540374929436,19.0,,,,
20,37.0,27.0,3273.2199296072235,20.0,,,,
21,5.0,-5.0,3236.7453022875475,21.0,,,,
22,15.0,5.0,1451.3320696855517,22.0,,,,
23,12.0,2.0,4499.661782416061,23.0,,,,
24,27.0,17.0,4521.139506413401,24.0,,,,
25,29.0,19.0,4833.9902710634815,25.0,,,,
26,37.0,27.0,599.7029771603326,26.0,,,,
27,44.0,34.0,1801.4479349721714,27.0,,,,
28,32.0,22.0,1404.5661907114418,28.0,,,,
29,24.0,14.0,2442.5115135044007,29.0,,,,
30,22.0,22.0,2413.7763678371834,30.0,,,,
31,41.0,31.0,3197.910889166387,31.0,,,,
32,43.0,33.0,753.363589627068,32.0,,,,
33,44.0,34.0,769.6534909129194,33.0,,,,
34,45.0,35.0,334.82692861422873,34.0,,,,
35,41.0,31.0,1141.462967777926,35.0,,,,
36,29.0,19.0,1153.9714433857873,36.0,,,,
37,38.0,28.0,1083.1792939138497,37.0,,,,
38,41.0,31.0,1126.6045079438202,38.0,,,,
39,42.0,32.0,1432.7272027633335,39.0,,,,
40,41.0,31.0,2705.3085586100074,40.0,,,,
41,33.0,23.0,3702.813868773053,41.0,,,,
42,44.0,34.0,323.4171291081268,42.0,,,,
43,41.0,31.0,2418.9910387636523,43.0,,,,
44,26.0,16.0,3725.7656267323005,44.0,,,,
45,44.0,34.0,413.36485542303643,45.0,,,,
46,42.0,32.0,824.8878425089794,46.0,,,,
47,42.0,32.0,1157.0107278593857,47.0,,,,
48,36.0,26.0,6703.894097881186,48.0,,,,
49,45.0,35.0,178.95175559929177,49.0,,,,
50,39.0,29.0,2836.6469341173283,50.0,,,,
51,40.0,30.0,1372.572746380898,51.0,,,,
52,42.0,32.0,1120.8897348540736,52.0,,,,
53,44.0,34.0,571.9337394187022,53.0,,,,
54,13.0,3.0,1631.2655622166212,54.0,,,,
55,40.0,30.0,1543.5602791512142,55.0,,,,
56,37.0,27.0,3608.869239373607,56.0,,,,
57,45.0,35.0,107.10082773267601,57.0,,,,
58,41.0,31.0,972.5822663813161,58.0,,,,
59,44.0,34.0,426.7501515314332,59.0,,,,
60,45.0,35.0,589.165766498287,60.0,,,,
61,41.0,31.0,3674.365084603222,61.0,,,,
62,44.0,34.0,1288.8139038342376,62.0,,,,
63,45.0,35.0,66.2631852765741,63.0,,,,
64,45.0,35.0,60.94843695272056,64.0,,,,
65,45.0,35.0,2150.6577089888274,65.0,,,,
66,43.0,33.0,917.0512328173123,66.0,,,,
67,44.0,34.0,247.57800250930447,67.0,,,,
68,45.0,35.0,43.50761741505198,68.0,,,,
69,45.0,35.0,39.93736233121961,69.0,,,,
70,45.0,35.0,36.63282168011803,70.0,,,,
71,43.0,33.0,373.1936540258702,71.0,,,,
72,44.0,34.0,1220.652886254864,72.0,,,,
73,45.0,35.0,28.224389527562728,73.0,,,,
74,45.0,35.0,25.801075538438656,74.0,,,,
75,45.0,35.0,23.562633195431864,75.0,,,,
76,43.0,33.0,304.58502878682884,76.0,,,,
77,44.0,34.0,818.4191765114905,77.0,,,,
78,45.0,35.0,17.878133901834747,78.0,,,,
79,41.0,31.0,1557.2404918195743,79.0,,,,
80,44.0,34.0,602.1479003327203,80.0,,,,
81,43.0,33.0,467.21974547997445,81.0,,,,
82,45.0,35.0,12.455198924839417,82.0,,,,
83,45.0,35.0,11.283509726309214,83.0,,,,
84,45.0,35.0,10.202766488902938,84.0,,,,
85,45.0,35.0,9.208900966262146,85.0,,,,
86,45.0,35.0,8.29751431365149,86.0,,,,
87,45.0,35.0,7.463990163019025,87.0,,,,
88,45.0,35.0,6.703593522704148,88.0,,,,
89,45.0,35.0,6.011555207149356,89.0,,,,
90,45.0,35.0,5.383142247790403,90.0,,,,
91,45.0,35.0,4.813715205400329,91.0,,,,
92,45.0,35.0,4.298773573646698,92.0,,,,
93,45.0,35.0,3.8339905916651627,93.0,,,,
94,45.0,35.0,3.415238813621952,94.0,,,,
95,45.0,35.0,3.038607747875343,95.0,,,,
96,45.0,35.0,2.700414801208785,96.0,,,,
97,45.0,35.0,2.397210661919697,97.0,,,,
98,45.0,35.0,2.1257801415873434,98.0,,,,
99,45.0,35.0,1.8831393776789696,99.0,49.5,32.5,22.7,1233.3335076780409
