,reward,performance,loss,episode,episode_smooth,reward_smooth,performance_smooth,loss_smooth
0,-83.0,-83.0,44.0,0.0,,,,
1,-24.0,-39.0,2447.0,1.0,,,,
2,-82.0,-82.0,41.0,2.0,,,,
3,-30.0,-30.0,2449.0,3.0,,,,
4,-29.0,-34.0,2434.0,4.0,,,,
5,-34.0,-44.0,2386.2201,5.0,,,,
6,-76.0,-76.0,18.0,6.0,,,,
7,-70.0,-70.0,4436.56363602,7.0,,,,
8,-82.0,-82.0,28865.69591112433,8.0,,,,
9,-83.0,-93.0,27532.342752763347,9.0,,,,
10,-82.0,-82.0,31185.76141626109,10.0,,,,
11,-33.0,-33.0,21545.917270358917,11.0,,,,
12,-76.0,-81.0,17666.680982693153,12.0,,,,
13,-29.0,-29.0,11902.874958645822,13.0,,,,
14,-31.0,-41.0,20288.912479445014,14.0,,,,
15,-29.0,-29.0,16657.13001752938,15.0,,,,
16,-27.0,-37.0,2277.2001,16.0,,,,
17,-31.0,-41.0,15174.968601978508,17.0,,,,
18,-81.0,-91.0,2148.65714815047,18.0,,,,
19,-74.0,-74.0,23.0,19.0,,,,
20,-29.0,-39.0,4515.0396988516,20.0,,,,
21,-80.0,-80.0,35222.19627509482,21.0,,,,
22,-34.0,-44.0,14.0,22.0,,,,
23,-30.0,-35.0,10611.455545559018,23.0,,,,
24,-25.0,-25.0,2447.0,24.0,,,,
25,-81.0,-86.0,42693.51319076374,25.0,,,,
26,-79.0,-79.0,5721.780943069176,26.0,,,,
27,-78.0,-78.0,28465.085044852796,27.0,,,,
28,-23.0,-28.0,2415.0,28.0,,,,
29,-84.0,-89.0,9013.395149824157,29.0,,,,
30,-28.0,-38.0,3.0,30.0,,,,
31,-33.0,-33.0,2524.1457325376755,31.0,,,,
32,-29.0,-34.0,14222.41136000562,32.0,,,,
33,-31.0,-36.0,4158.079397703202,33.0,,,,
34,-28.0,-38.0,2.0,34.0,,,,
35,-26.0,-36.0,2.0,35.0,,,,
36,-27.0,-32.0,3442.7661295919515,36.0,,,,
37,-33.0,-43.0,2.0,37.0,,,,
38,-30.0,-40.0,4332.493836019999,38.0,,,,
39,-27.0,-32.0,3826.445336968508,39.0,,,,
40,-29.0,-39.0,2.0,40.0,,,,
41,-30.0,-35.0,13198.999679421864,41.0,,,,
42,-24.0,-34.0,11.0,42.0,,,,
43,-77.0,-82.0,5808.386438682967,43.0,,,,
44,-30.0,-40.0,9.0,44.0,,,,
45,-27.0,-37.0,4489.0396988516,45.0,,,,
46,-29.0,-29.0,11567.00383602,46.0,,,,
47,-24.0,-29.0,2420.0,47.0,,,,
48,-31.0,-41.0,1754.1958023327616,48.0,,,,
49,-32.0,-32.0,32.0,49.0,,,,
50,-87.0,-97.0,25673.421471502974,50.0,,,,
51,-85.0,-85.0,0.0,51.0,,,,
52,-28.0,-33.0,3781.1228681930843,52.0,,,,
53,-30.0,-40.0,8671.101687061037,53.0,,,,
54,-21.0,-31.0,31291.186485426337,54.0,,,,
55,-30.0,-40.0,0.0,55.0,,,,
56,-35.0,-40.0,21638.99405560844,56.0,,,,
57,-76.0,-76.0,0.0,57.0,,,,
58,-80.0,-85.0,11232.308118438326,58.0,,,,
59,-32.0,-42.0,0.0,59.0,,,,
60,-29.0,-34.0,6.0,60.0,,,,
61,-27.0,-27.0,2419.0,61.0,,,,
62,-20.0,-30.0,0.0,62.0,,,,
63,-31.0,-41.0,19548.380719988505,63.0,,,,
64,-23.0,-33.0,5.0,64.0,,,,
65,-24.0,-34.0,3.0,65.0,,,,
66,-84.0,-84.0,0.0,66.0,,,,
67,-23.0,-33.0,0.0,67.0,,,,
68,-24.0,-29.0,1.0,68.0,,,,
69,-27.0,-37.0,0.0,69.0,,,,
70,-28.0,-38.0,0.0,70.0,,,,
71,-27.0,-37.0,8624.561315713201,71.0,,,,
72,-21.0,-31.0,0.0,72.0,,,,
73,-73.0,-83.0,27972.29199456901,73.0,,,,
74,-79.0,-89.0,8599.643033723201,74.0,,,,
75,-83.0,-88.0,0.0,75.0,,,,
76,-27.0,-32.0,0.0,76.0,,,,
77,-28.0,-33.0,0.0,77.0,,,,
78,-32.0,-37.0,5594.5074642155905,78.0,,,,
79,-81.0,-86.0,1720.6378136086062,79.0,,,,
80,-28.0,-38.0,6696.070438555464,80.0,,,,
81,-18.0,-28.0,3.0,81.0,,,,
82,-78.0,-78.0,0.0,82.0,,,,
83,-30.0,-35.0,5277.84412471262,83.0,,,,
84,27.0,27.0,2433.0,84.0,,,,
85,-91.0,-91.0,6034.433898526571,85.0,,,,
86,-29.0,-39.0,0.0,86.0,,,,
87,-27.0,-37.0,0.0,87.0,,,,
88,-27.0,-37.0,0.0,88.0,,,,
89,-31.0,-41.0,2474.6672772584,89.0,,,,
90,-21.0,-31.0,0.0,90.0,,,,
91,-24.0,-34.0,0.0,91.0,,,,
92,-79.0,-79.0,4444.200003194504,92.0,,,,
93,-25.0,-35.0,4.0,93.0,,,,
94,-23.0,-23.0,9.0,94.0,,,,
95,-23.0,-23.0,79.90738318950308,95.0,,,,
96,-18.0,-18.0,1.0,96.0,,,,
97,-18.0,-28.0,0.0,97.0,,,,
98,-24.0,-29.0,0.0,98.0,,,,
99,-31.0,-41.0,0.0,99.0,49.5,-41.67,-47.57,6266.896386246069
100,-19.0,-24.0,0.0,100.0,50.5,-41.03,-46.98,6266.456386246069
101,-23.0,-28.0,1.0,101.0,51.5,-41.02,-46.87,6241.996386246069
102,-22.0,-27.0,9134.00383602,102.0,52.5,-40.42,-46.32,6332.926424606269
103,-14.0,-24.0,0.0,103.0,53.5,-40.26,-46.26,6308.436424606269
104,-29.0,-39.0,0.0,104.0,54.5,-40.26,-46.31,6284.096424606269
105,-24.0,-29.0,3294.3170646735516,105.0,55.5,-40.16,-46.16,6293.1773942530035
106,-27.0,-37.0,0.0,106.0,56.5,-39.67,-45.77,6292.997394253004
107,-23.0,-28.0,0.0,107.0,57.5,-39.2,-45.35,6248.631757892805
108,-18.0,-18.0,3.0,108.0,58.5,-38.56,-44.71,5960.004798781561
109,-17.0,-27.0,0.0,109.0,59.5,-37.9,-44.05,5684.681371253928
110,-21.0,-31.0,0.0,110.0,60.5,-37.29,-43.54,5372.823757091317
111,-24.0,-34.0,2.0,111.0,61.5,-37.2,-43.55,5157.384584387727
112,-27.0,-32.0,0.0,112.0,62.5,-36.71,-43.06,4980.717774560796
113,-18.0,-28.0,6543.77565403,113.0,63.5,-36.6,-43.05,4927.1267815146375
114,-9.0,-19.0,0.0,114.0,64.5,-36.38,-42.83,4724.237656720187
115,-20.0,-30.0,4424.56363602,115.0,65.5,-36.29,-42.84,4601.911992905093
116,-15.0,-25.0,0.0,116.0,66.5,-36.17,-42.72,4579.139991905093
117,-16.0,-26.0,0.0,117.0,67.5,-36.02,-42.57,4427.390305885308
118,-16.0,-26.0,0.0,118.0,68.5,-35.37,-41.92,4405.903734403804
119,-23.0,-33.0,0.0,119.0,69.5,-34.86,-41.51,4405.673734403804
120,-81.0,-81.0,0.0,120.0,70.5,-35.38,-41.93,4360.523337415288
121,-23.0,-33.0,2081.039698851601,121.0,71.5,-34.81,-41.46,4029.1117716528556
122,-33.0,-43.0,8495.319196554803,122.0,72.5,-34.8,-41.45,4113.924963618403
123,-14.0,-24.0,0.0,123.0,73.5,-34.64,-41.34,4007.8104081628135
124,-22.0,-22.0,2196.2451175563974,124.0,74.5,-34.61,-41.31,4005.3028593383774
125,-33.0,-38.0,25.27732213356122,125.0,75.5,-34.13,-40.83,3578.6205006520754
126,-15.0,-20.0,0.0,126.0,76.5,-33.49,-40.24,3521.402691221384
127,-31.0,-36.0,6168.155868687224,127.0,77.5,-33.02,-39.82,3298.4333994597278
128,-17.0,-27.0,0.0,128.0,78.5,-32.96,-39.81,3274.2833994597277
129,-23.0,-23.0,0.0,129.0,79.5,-32.35,-39.15,3184.149447961486
130,-23.0,-33.0,3.0,130.0,80.5,-32.3,-39.1,3184.149447961486
131,-5.0,-10.0,0.0,131.0,81.5,-32.02,-38.87,3158.9079906361094
132,-26.0,-31.0,14.0,132.0,82.5,-31.99,-38.84,3016.8238770360535
133,-16.0,-26.0,1.0,133.0,83.5,-31.84,-38.74,2975.2530830590213
134,-10.0,-20.0,0.0,134.0,84.5,-31.66,-38.56,2975.2330830590213
135,-22.0,-32.0,6.0,135.0,85.5,-31.62,-38.52,2975.2730830590212
136,-78.0,-83.0,0.0,136.0,86.5,-32.13,-39.03,2940.845421763102
137,-21.0,-31.0,2.0,137.0,87.5,-32.01,-38.91,2940.845421763102
138,-19.0,-24.0,0.0,138.0,88.5,-31.9,-38.75,2897.520483402902
139,-18.0,-23.0,0.0,139.0,89.5,-31.81,-38.66,2859.256030033217
140,-31.0,-41.0,3872.6201010648347,140.0,90.5,-31.83,-38.68,2897.9622310438654
141,-75.0,-80.0,1834.0779951206682,141.0,91.5,-32.28,-39.13,2784.313014200853
142,-18.0,-28.0,2077.039698851601,142.0,92.5,-32.22,-39.07,2804.9734111893695
143,-14.0,-19.0,0.0,143.0,93.5,-31.59,-38.44,2746.88954680254
144,-23.0,-33.0,10790.924851733202,144.0,94.5,-31.52,-38.37,2854.708795319871
145,-17.0,-27.0,0.0,145.0,95.5,-31.42,-38.27,2809.818398331356
146,-22.0,-32.0,0.0,146.0,96.5,-31.35,-38.3,2694.148359971156
147,-22.0,-32.0,3.0,147.0,97.5,-31.33,-38.33,2669.978359971156
148,-24.0,-24.0,1.0,148.0,98.5,-31.26,-38.16,2652.4464019478273
149,-21.0,-31.0,0.0,149.0,99.5,-31.15,-38.15,2652.1264019478276
150,-33.0,-43.0,4153.083169341484,150.0,100.5,-30.61,-37.61,2436.9230189262134
151,-17.0,-27.0,0.0,151.0,101.5,-29.93,-37.03,2436.9230189262134
152,26.0,21.0,2413.0,152.0,102.5,-29.39,-36.49,2423.2417902442826
153,-19.0,-29.0,0.0,153.0,103.5,-29.28,-36.38,2336.530773373672
154,-17.0,-27.0,0.0,154.0,104.5,-29.24,-36.34,2023.6189085194087
155,-16.0,-26.0,0.0,155.0,105.5,-29.1,-36.2,2023.6189085194087
156,-77.0,-87.0,6330.7299267659655,156.0,106.5,-29.52,-36.67,1870.5362672309839
157,-23.0,-33.0,0.0,157.0,107.5,-28.99,-36.24,1870.5362672309839
158,-12.0,-22.0,0.0,158.0,108.5,-28.31,-35.61,1758.2131860466006
159,-11.0,-21.0,0.0,159.0,109.5,-28.1,-35.4,1758.2131860466006
160,-20.0,-25.0,0.0,160.0,110.5,-28.01,-35.31,1758.1531860466007
161,-26.0,-31.0,0.0,161.0,111.5,-28.0,-35.35,1733.9631860466006
162,-71.0,-71.0,6111.576628165754,162.0,112.5,-28.51,-35.76,1795.0789523282583
163,-25.0,-35.0,3.0,163.0,113.5,-28.45,-35.7,1599.625145128373
164,-20.0,-25.0,0.0,164.0,114.5,-28.42,-35.62,1599.5751451283732
165,-24.0,-34.0,139.3269911564567,165.0,115.5,-28.42,-35.62,1600.9384150399376
