,reward,performance,loss,episode,episode_smooth,reward_smooth,performance_smooth,loss_smooth
0,-33.0,-43.0,2470.6502305212016,0.0,,,,
1,-72.0,-72.0,62.147487328803706,1.0,,,,
2,-33.0,-43.0,2471.662718778715,2.0,,,,
3,-80.0,-85.0,87.31074307908976,3.0,,,,
4,-25.0,-35.0,2009.5997239031733,4.0,,,,
5,-30.0,-30.0,2468.7867482325323,5.0,,,,
6,-27.0,-37.0,2462.3172549638048,6.0,,,,
7,-23.0,-33.0,2150.4181198297815,7.0,,,,
8,-26.0,-31.0,1911.0209117820498,8.0,,,,
9,-27.0,-37.0,1901.5690074474176,9.0,,,,
10,-84.0,-84.0,48.808635322078885,10.0,,,,
11,-30.0,-40.0,1264.9632033485711,11.0,,,,
12,-25.0,-35.0,1882.160205981374,12.0,,,,
13,-23.0,-33.0,1401.4953446938298,13.0,,,,
14,-25.0,-25.0,2100.1884987446815,14.0,,,,
15,-22.0,-32.0,2704.7750555536068,15.0,,,,
16,-27.0,-27.0,2671.4909202483036,16.0,,,,
17,-21.0,-26.0,1503.9870921294996,17.0,,,,
18,-20.0,-20.0,1680.2244636893822,18.0,,,,
19,-28.0,-38.0,2398.5238040359927,19.0,,,,
20,-27.0,-37.0,1401.7762905406557,20.0,,,,
21,-24.0,-29.0,2257.817606119501,21.0,,,,
22,-18.0,-28.0,2277.352039445567,22.0,,,,
23,-9.0,-14.0,1730.5753910227056,23.0,,,,
24,-79.0,-79.0,267.64431622469306,24.0,,,,
25,29.0,14.0,4849.527773680065,25.0,,,,
26,-9.0,-19.0,1734.8620406376615,26.0,,,,
27,-11.0,-16.0,1776.5229420943947,27.0,,,,
28,-13.0,-18.0,1697.395043810301,28.0,,,,
29,-4.0,-14.0,849.4888628707777,29.0,,,,
30,-10.0,-15.0,2636.9529873559654,30.0,,,,
31,0.0,-10.0,1068.6717060827943,31.0,,,,
32,-6.0,-11.0,1481.1348611995809,32.0,,,,
33,-2.0,-12.0,1300.5298013414774,33.0,,,,
34,-2.0,-12.0,324.892598536242,34.0,,,,
35,1.0,-9.0,2810.5976701724912,35.0,,,,
36,-6.0,-16.0,2418.028737202038,36.0,,,,
37,-2.0,-12.0,911.4452015910343,37.0,,,,
38,5.0,-5.0,223.8191372529063,38.0,,,,
39,-6.0,-16.0,219.46706533323686,39.0,,,,
40,-3.0,-13.0,183.34726532077582,40.0,,,,
41,5.0,0.0,1132.991673969125,41.0,,,,
42,14.0,9.0,158.8713092134581,42.0,,,,
43,10.0,5.0,2845.72864781366,43.0,,,,
44,2.0,-3.0,1210.392103656416,44.0,,,,
45,-2.0,-12.0,755.711060428099,45.0,,,,
46,2.0,-8.0,1784.879869740684,46.0,,,,
47,17.0,7.0,942.0480003752436,47.0,,,,
48,6.0,1.0,1993.7802998669824,48.0,,,,
49,13.0,8.0,5306.333318749919,49.0,,,,
50,9.0,-1.0,3060.7557200721503,50.0,,,,
51,8.0,3.0,669.557863651807,51.0,,,,
52,18.0,13.0,57.56151497723792,52.0,,,,
53,16.0,6.0,2125.0894844406544,53.0,,,,
54,16.0,6.0,565.7705367584623,54.0,,,,
55,17.0,7.0,875.8469357620663,55.0,,,,
56,13.0,3.0,747.6184848053248,56.0,,,,
57,14.0,4.0,913.8892011145456,57.0,,,,
58,19.0,9.0,32.47337766360054,58.0,,,,
59,22.0,17.0,22.823495589885855,59.0,,,,
60,23.0,18.0,20.267847348177224,60.0,,,,
61,16.0,11.0,1248.7765998961515,61.0,,,,
62,24.0,14.0,1160.4342578812646,62.0,,,,
63,21.0,16.0,17.747180290699777,63.0,,,,
64,24.0,14.0,1879.6874811013247,64.0,,,,
65,31.0,26.0,773.4825636245937,65.0,,,,
66,23.0,13.0,1378.4030143252487,66.0,,,,
67,22.0,12.0,8.780733671305926,67.0,,,,
68,32.0,22.0,7.507278793000461,68.0,,,,
69,25.0,20.0,5.947239507617266,69.0,,,,
70,32.0,27.0,5.138946242941545,70.0,,,,
71,31.0,26.0,5.837057062859612,71.0,,,,
72,35.0,30.0,824.8594983529466,72.0,,,,
73,32.0,27.0,790.5706144967799,73.0,,,,
74,33.0,23.0,2.9171813144246928,74.0,,,,
75,36.0,31.0,3.26151967730689,75.0,,,,
76,33.0,28.0,3.2711487488718984,76.0,,,,
77,33.0,28.0,696.502126846444,77.0,,,,
78,34.0,29.0,1283.533935825296,78.0,,,,
79,34.0,29.0,1.9536239136640405,79.0,,,,
80,39.0,34.0,1.1708503771148429,80.0,,,,
81,36.0,31.0,0.9987846205738439,81.0,,,,
82,41.0,36.0,0.8691500187279857,82.0,,,,
83,42.0,37.0,785.5187074205493,83.0,,,,
84,45.0,40.0,0.625109391065964,84.0,,,,
85,46.0,41.0,0.5340671295730886,85.0,,,,
86,43.0,38.0,0.4566335131813935,86.0,,,,
87,44.0,39.0,0.4086057562420623,87.0,,,,
88,44.0,34.0,0.3360673376014898,88.0,,,,
89,47.0,42.0,0.2826141630378317,89.0,,,,
90,47.0,42.0,0.24042681683657216,90.0,,,,
91,47.0,42.0,0.2043118285657156,91.0,,,,
92,47.0,42.0,0.17342432071000324,92.0,,,,
93,47.0,42.0,0.14703414871157203,93.0,,,,
94,47.0,42.0,0.1245103055875055,94.0,,,,
95,47.0,42.0,0.10530755871487078,95.0,,,,
96,47.0,42.0,0.08895495836277195,96.0,,,,
97,47.0,42.0,0.07504592589283667,97.0,,,,
98,47.0,42.0,0.06322968307916971,98.0,,,,
99,47.0,42.0,0.053203826177698,99.0,49.5,8.13,1.33,1041.874282941193
